Project Id;Promotor;Project Name;Description;Investment ID;Name;From;To;Elements Type;Technology Type;Voltage Level;Expected Commissioning Year;Status;Tso In Charge From;Tso In Charge To;country 1;country 2;country 3
144;"TRANSELECTRICA; EMS";Mid Continental East corridor;The project consists of one double circuit 400 kV line between Serbia and Romania and reinforcement of the network along the western border in Romania: one new simple circuit 400 kV line from Portile de Fier to Resita and upgrade from 220 kV double circuit to 400 kV double circuit of the axis between Resita and Arad, including upgrade to 400 kV of three substations along this path: Resita, Timisoara, Sacalaz.;238;New_400 kV OHL RO-RS;Resita (RO);Pancevo (RS);Overhead Line;AC;400;31/03/2018;Under Construction;Transelectrica;EMS;Romania;Serbia;
;;;;269;400 kV OHL Portile de Fier-Resita;Portile de Fier (RO);Resita (RO);Overhead Line;AC;400;2019;Under Construction;Transelectrica;Transelectrica;Romania;Serbia;Hungary
;;;;270;Upgrade of the existing 220kV double circuit OHL Resita -Timisoara - Sacalaz - Arad to 400kV double circuit line;Resita (RO);Timisoara-Sacalaz-Arad (RO);Overhead Line;AC;400;2023;In Permitting;Transelectrica;Transelectrica;Romania;Serbia;Hungary
;;;;701;400 kV Substation Resita;Resita (RO);Resita (RO);Substation;AC;400;2019;Under Construction;Transelectrica;Transelectrica;Romania;Serbia;
;;;;705;400 kV Substation Timisoara;Timisoara (RO);Timisoara (RO);Substation;AC;400;2023;In Permitting;Transelectrica;Transelectrica;Romania;Serbia;
150;"TERNA;ELES";Italy-Slovenia;"""The project consists in a new HVDC link between Salgareda (Italy) and Beričevo (Slovenia) which will strengthen the connection between Slovenia and Italy. On italian side the project is under permitting since 2012.
Terna and ELES are evaluating the opportunity to implement the project according to the following two phases:
• phase 1 reinforcement of existing grid (PSTs, upgrade of existing lines)
o Commissioning date: 2020
o Delta GTC contribution: 400 MW
• phase 2 HVDC link (two separate investments: one for the IT side and one for the SI side)
o Substation 1: Beričevo
o Rated power: 800/600 MW
o Commissioning date: 2022/2025
o Delta GTC contribution: 600 MW";616;Salgareda - Border IT-SI;Salgareda (IT);Border IT-SI;Underground Cable;DC;500;2022;In Permitting;TERNA;ELES;Slovenia;Italy;
;;;;1616;Beričevo - Border IT-SI;Beričevo (SI);Border IT-SI;Underground Cable;DC;500;after 2022;Under Consideration;ELES;TERNA;Slovenia;Italy;
153;RTE,FAB Link Ltd;France-Alderney-Britain;France-Alderney-Britain (FAB) is a new HVDC subsea interconnector between Exeter (UK) and Menuel (France) with 1,4 GW capacity.;987;France-Alderney-Britain;Menuel (FR);Exeter (GB);Subsea Cable;DC;320;1/ 1/ 2022;In Permitting;RTE (FR);NGIHL (UK);France;Great Britain;
164;TENNET-DE;N-S Eastern DE_central section;North-South transmission in Germany. AC links from Northern Germany towards the load centers of Bavaria and Baden-Württemberg.;149;Dollern - Stade;Dollern (DE);Stade (DE);Overhead Line;AC;380;2021;In Permitting;TenneT-DE;TenneT-DE;Germany;;
;;;;157;Wahle - Mecklar;Wahle (DE);Mecklar (DE);Overhead Line;AC;380;2021;In Permitting;TenneT-DE;TenneT-DE;Germany;;
;;;;677;Dollern - Landesbergen;Dollern (DE);Landesbergen (DE);Overhead Line;AC;380;2023;In Permitting;TenneT-DE;TenneT-DE;Germany;;
;;;;685;Mecklar - Grafenrheinfeld;Mecklar (DE);Grafenrheinfeld (DE);Overhead Line;AC;380;2027;Planned But Not Yet Permitting;TenneT-DE;TenneT-DE;Germany;;
167;Energinet.dk, NGIHL;Viking DKW-GB;"2x700 MW HVDC subsea link across the North Seas. New substations on both sides; Bicker Fen (GB); Revsing (DK)";998;Viking Link DKW-GB, TYNDP ID 167.998;Revsing (DKW);Bicker Fen (GB);Subsea Cable;DC;515;31/12/ 2022;In Permitting;Energinet.dk;National Grid;Denmark;Great Britain;
170;"AST;ELERING;LITGRID";Baltics synchro with CE;The power system of the Baltic States which includes Estonia, Latvia, Lithuania (Baltic Integrated Power System) currently is operating in parallel with the Integrated/Unified Power System (IPS/UPS) of Russia and Belarus. The aim of this project is to remove the energy isolation of the Baltic States from the rest of the EU and connect their power systems with systems using the same technical standards and developing in the same European legal framework. This strategic goal has been set by the Prime Ministers of the Baltic States in 2007.;382;New 330 kV OHL Vilnius-Neris;Vilnius;Neris;Overhead Line;AC;330;2024;Planned But Not Yet Permitting;LITGRID;LITGRID;Lithuania;;
;;#REF!;#REF!;1004;330kV OHL Paide-Sindi (L346);Sindi;Paide;Overhead Line;AC;330;01/01/2025;Under Consideration;ELERING;ELERING;Estonia;;
;;#REF!;#REF!;1010;330 kV OHL Tartu-Valmiera;Tartu;Valmiera;Overhead Line;AC;330;1/ 1/ 2025;Planned But Not Yet Permitting;Elering;AST;Lithuania;;
;;#REF!;#REF!;1011;Valmiera -Tsirguliina 330 kV;Tsirguliina;Valmiera;Overhead Line;AC;330;1/ 1/ 2025;Planned But Not Yet Permitting;Elering;AST;Lithuania;;
;;#REF!;#REF!;1012;330 kV OHL Tartu-Balti (L300);Balti;Tartu;Overhead Line;AC;330;1/ 1/ 2024;Planned But Not Yet Permitting;ELERING;ELERING;Lithuania;;
;;#REF!;#REF!;1013;Viru-Tsirguliina 330kV OHL;Viru;Tsirguliina ;Overhead Line;AC;330;1/ 1/ 2025;Planned But Not Yet Permitting;ELERING;ELERING;Lithuania;;
;;#REF!;#REF!;1034;New 400 kV interconnection line from Lithuania to state border;Marijampole;State border;Overhead Line;AC;400;2024;Planned But Not Yet Permitting;LITGRID;LITGRID;Lithuania;;
;;#REF!;#REF!;1118;SVC and control upgrades;Eesti 330 kV;-;Compensation;AC;330;1/ 1/ 2024;Planned But Not Yet Permitting;"LITGRID; AST; ELERING";-;Lithuania;Estonia;Latvia
;;#REF!;#REF!;1564;New 110 kV OHL Pagegiai-Bitenai near LT-RU border;Pagegiai;Bitenai;Overhead Line;AC;110;2019;Under Construction;LITGRID;LITGRID;Lithuania;;
;;#REF!;#REF!;1565;Reconstruction of 330 kV OHL LE-Vilnius;LE;Vilnius;Overhead Line;AC;330;2018;Under Construction;LITGRID;LITGRID;Lithuania;;
;;#REF!;#REF!;1566;Reconstructions in North Eastern Lithuania;-;-;Substation;AC;330;2021;Under Construction;LITGRID;LITGRID;Lithuania;;
;;#REF!;#REF!;1567;Reinforcements of 110 kV lines near LT-BY border;Griskonys;Valkininkai;Overhead Line;AC;110;2023;Planned But Not Yet Permitting;LITGRID;-;Lithuania;;
;;#REF!;#REF!;1568;Construction of new 400/330 kV autotransformers in Alytus substation;Alytus;-;Substation;AC;400;2021;Planned But Not Yet Permitting;LITGRID;-;Lithuania;;
;;#REF!;#REF!;1569;Rerouting of exicting HVDC converter in Alytus;Alytus;-;LCC converter station;DC;0;2024;Planned But Not Yet Permitting;LITGRID;-;Lithuania;;
;;#REF!;#REF!;1570;Construction of new HVDC converter in Bitenai;Bitenai;-;LCC converter station;DC;0;2024;Planned But Not Yet Permitting;LITGRID;-;Lithuania;;
;;#REF!;#REF!;1571;New voltage control units (such as SVC) in LT;-;-;Substation;AC;0;2023;Planned But Not Yet Permitting;LITGRID;-;Lithuania;;
;;#REF!;#REF!;1572;Preparation works in Baltics: Baltic AGC system, frequency control monitoring system.;-;-;Substation;AC;0;2024;Planned But Not Yet Permitting;"LITGRID; AST; ELERING";-;Lithuania;Estonia;Latvia
;;#REF!;#REF!;1632;New 330 kV Musa substation;Musa;-;Substation;AC;330;2023;Planned But Not Yet Permitting;-;-;;;
;;#REF!;#REF!;1633;Reconstruction of 330 kV OHL Klaipeda - Bitenai;Klaipeda;Bitenai;Overhead Line;AC;330;2024;Planned But Not Yet Permitting;LITGRID;-;Lithuania;;
;;#REF!;#REF!;1634;Reconstruction of 330 kV OHL Bitėnai - Jurbarkas;Bitenai;Jurbarkas;Overhead Line;AC;330;2024;Planned But Not Yet Permitting;LITGRID;-;Lithuania;;
;;#REF!;#REF!;1635;New 330 kV OHL Jurbarkas -  KHAE;Jurbarkas;KHAE;Overhead Line;AC;330;2024;Planned But Not Yet Permitting;LITGRID;-;Lithuania;;
172;ElecLink;ElecLink;ElecLink is a new FR – UK interconnection cable with 1000 MW capacity through the Channel Tunnel between Sellindge (UK) and Mandarins (FR). Converter stations will be located on Eurotunnel concession at Folkestone and Coquelles. This HVDC interconnection is a PCI project (Project of Common Interest) no. 1.7.3;1487;ElecLink;Sellindge (UK);Mandarins (FR);Underground Cable;DC;320;2019;Under Construction;NG;RTE;United Kingdom;France;
173;"ELIA;RTE";FR-BE II: PSTs Aubange-Moulaine;Installation of two phase shifting transformers in Aubange, one on each of the 225kV circuits of the Aubange-Moulaine interconnector.;1281;Aubange-Moulaine: PSTs;Aubange (BE);Moulaine (FR);Phase Shift Transformer;AC;220;2021;Planned But Not Yet Permitting;ELIA;RTE;France;Belgium;
174;Worldenergy SA;Greenconnector;Greenconnector is an HVDC interconnector project between Italy and Switzerland for power transport using DC cables rather than overhead lines. The route length is about 150 km. The design power is 1000 MW (1200 MW in overload condition), while the DC voltage is +/- 400 kV DC. Two cables will be installed, working with a bipolar scheme. Great part of the cables route will exploit a section of an existing oil pipeline, no longer in service since January 1997. This pipeline crosses the Italian and Switzerland border at Splügenpass and is running close by the two end stations of the Greenconnector project (Sils in Graubunden Canton and Verderio Inferiore, Lecco). The cables will be pulled inside the pipeline itself, reducing the amount of civil works required before and after cable laying and therefore limiting even temporary environmental impact. For about 47 km the cables will run across the Como lake.;1014;Greenconnector;Verderio;Sils i.D.;Underground Cable;DC;400;2022;In Permitting;Terna;Swissgrid;Italy;Switzerland;
175;Energinet.dk;Great Belt II;This project candidate includes an HVDC connector between Denmark-West (DKW) and Denmark-East (DKE). The connector is called Great Belt-2.;1000;Great Belt II;Malling (DKW);Kyndby (DKE);Subsea Cable;DC;400;2030;Under Consideration;Energinet;Energinet;Denmark;Denmark;
176;50Hertz Transmission, Svenska Kraftnät (SvK);Hansa PowerBridge I;New HVDC interconnector between Sweden (SE4) and Germany (50 Hertz, Continental) aiming to enhance the integration of the Nordic and the continental power market. Moreover the interconnector facilitates RES integration and increases the system adequacy in both systems.;995;Hansa PowerBridge I;Hurva (SE4);Guestrow (DE);Subsea Cable;DC;300;2026;In Permitting;Svk;50Hertz;Germany;Sweden;
179;50Hertz Transmission, Energinet.dk;DKE - DE (Kontek2);This project includes a HVDC subsea interconnector between Denmark-East (DKE) and Germany (DE) and is called Kontek-2. A final grid-connection solution is not prepared yet.;1016;DKE-DE (Kontek 2);Bjæverskov (DK2);Bentwisch (DE);Subsea Cable;DC;400;> 2030;Under Consideration;Energinet.dk;50Hertz;Denmark;Germany;
183;Energinet.dk,TENNET-DE;"""DKW-DE, Westcoast""";"New 400 kV line from Endrup (DK) to Klixbüll (DE), increasing the transfer capacity at the
West Coast between these countries. The project is labelled by the EC as project of common interest (PCI 1.3.1).";1018;DKW-DE, Westcoast, TYNDP ID 183.1018;Klixbüll (DE);Endrup (DKW);Overhead Line;AC;380;31/ 12/ 2022;In Permitting;TenneT-DE;Energinet.dk;Denmark;Germany;
186;APG;east of Austria;"To allow the grid integration of the planned renewable energy generation (mainly wind power) in the north-eastern part of Austria (""Weinviertel"") the transmission grid infrastructure (currently a rather weak 220kV line) has to be enforced and new substation for the connection needs to be erected.";886;east of Austria;Seyring;Neusiedl/Zaya;Overhead Line;AC;380;2021;In Permitting;APG;APG;Austria;;
187;"APG;TENNET-DE";St. Peter (AT) - Pleinting (DE);Increase of the cross border transmission capacity by erecting a new 380kV line between St. Peter (Austria) and Pleinting (Germany). This leads to an improved  connection of the very high amount of RES in Germany and the pump storages in the Austrian Alps.;997;St. Peter (AT) - Pleinting (DE);Pleinting (DE);St. Peter (AT);Overhead Line;AC;380;2024;In Permitting;TenneT-DE;APG;Austria;Germany;
190;NorthConnect KS;NorthConnect;"""A 650 km long subsea interconnector between Norway and Scotland is planned to be realised in 2022.  The interconnector is planned to be a 500 kV, 1400 MW HVDC subsea interconnector between western Norway (Simadalen) and eastern Scotland (Peterhead), UK.""";1382;NorthConnect;Sima;Peterhead;Subsea Cable;DC;500;2022;Under Consideration;Statnett;National Grid   (SSEN is TO);Great Britain;Norway;
191;TENNET-DE;OWP TenneT Northsea Part 2;Connection of offshore wind parks in the North Sea to Germany. Mainly subsea DC cable. The  OWP will help to reach the European goal of CO2 reduction and RES integration;656;BorWin3;Cluster BorWin3;Emden/East (DE);Subsea Cable;DC;320;2019;Under Construction;TenneT-DE;TenneT-DE;Germany;;
;;#REF!;#REF!;952;Cluster DolWin 5 (NOR 1-1);Cluster DolWin 5 (NOR-1-1);Emden/East (DE);Subsea Cable;DC;320;2024;Planned But Not Yet Permitting;TenneT-DE;TenneT-DE;Germany;;
;;#REF!;#REF!;953;Cluster DolWin6;Cluster DolWin 6 (NOR-3-3);Emden/East;Subsea Cable;DC;320;2023;Under Construction;TenneT-DE;TenneT-DE;Germany;;
;;#REF!;#REF!;1513;DolWin3;Cluster DolWin3 (DE);Dörpen/West (DE);Subsea Cable;DC;320;2018;Under Construction;TenneT-DE;TenneT-DE;Germany;;
192;TENNET-DE;OWP Northsea TenneT Part 3;Connection of offshore wind parks in the North Sea to Germany. Mainly subsea DC cable. The  OWP will help to reach the European goal of CO2 reduction and RES integration;659;SylWin2;Cluster SylWin2 (DE);Büttel (DE);Subsea Cable;DC;320;2025;Planned But Not Yet Permitting;TenneT-DE;TenneT-DE;Germany;;
;;;;954;Cluster BorWin 5 (NOR-7-1);Cluster BorWin 5 (NOR-7-1);area of Cloppenburg/East;Subsea Cable;DC;320;2025;Planned But Not Yet Permitting;TenneT-DE;TenneT-DE;Germany;;
381;Amprion;OWP Northsea Part 4;"Connection of offshore wind parks in the North Sea to Germany. Mainly subsea DC cable. The  OWP will help to reach the European goal of CO2 reduction and RES integration. 
This project has been approved in the national grid development process 2017 under the condition, that it is to be re-confirmed in 2019.";211;DolWin 4 (NOR-3-2);Cluster DolWin 4 (NOR 3-2);Hanekenfähr;Subsea Cable;DC;320;2028;Planned But Not Yet Permitting;Amprion;Amprion;Germany;;
;;;;1485;"BorWin 6
(NOR-7-2)";Cluster BorWin 6 (NOR-7-2);Hanekenfähr;Subsea Cable;DC;320;2030;Planned But Not Yet Permitting;Amprion;Amprion;Germany;;
193;REE;Godelleta-Morella/La Plana;This project consist of a new OHL 400 kV AC axis Godelleta-Morella/La Plana (Spain). This project allows to solve today and future congestion in the north-south axis of Levante;927;La Plana/Morella-Godelleta;La Plana/Morella;Godelleta;Overhead Line;AC;400;2025;Under Consideration;REE;REE;Spain;;
194;REE;Cartuja;This project includes a new 400 kV double circuit Cartuja-Arcos de la Frontera and a new substation Cartuja 400 kV (Spain). This project would allow in the long term to connect future onshore and offshore wind generation.;561;New substation Cartuja;Cartuja (ES);Cartuja (ES);Substation;AC;400;2029;Under Consideration;REE;REE;Spain;;
;;#REF!;;929;Cartuja-Arcos 400 kV;Cartuja;Arcos;Overhead Line;AC;400;2029;Under Consideration;REE;REE;Spain;;
197;FINGRID;N-S Finland P1 stage 2;Several 400 kV AC lines are planned in Finland to be built to increase the North-South transmission capacity thusenabling the integration of new renewable and conventional generation in northern Finland and to compensate dismantling of obsolescent existing 220 kV lines. This project is fifth 400 kV overhead line connecting North Finland to South Finland.;742;Pyhanselka-Petajavesi;Pyhanselka (FI);Petajavesi (FI);Overhead Line;AC;400;1/ 7/ 2022;In Permitting;Fingrid;Fingrid;Finland;;
199;RTE,SWISSGRID;Lake Geneva South;"This project comes on top of ""PST Foretaille"" and ""upstream grid reinforcement in France"" projects. It consists in upgrading the existing 225-kV overhead line south of Lake Geneva, possibly to 400-kV.";1051;Cornier - La Bâtiaz;Cornier (FR);La Bâtiaz (CH);Overhead Line;AC;400;2035;Under Consideration;RTE;SWISSGRID;France;Switzerland;
200;CEPS;CZ Northwest-South corridor;"""A corridor of internal 400 kV overhead lines inside the Czech Republic connecting new 420 kV substations between Vernerov, Vitkov and existing substation Prestice in the northwest-south direction incuding looping of existing 400 kV overheadline (V413: Reporyje-Prosenice) into the existing substation 420 kV Mirovka. The project consists of building of two new 420 kV substations Vernerov and Vitkov, building of two 400 kV overhead lines involving changing a 220 kV double-circuit lines to 400 kV double-circuit lines with a capacity of 2x1730 MVA between Vernerov-Vitkov and Vitkov-Prestice and building a new double-circuit overhead line between Mirovka and V413""";306;R Vitkov;Vitkov (CZ);N/A;Substation;AC;400;30/ 11/ 2022;In Permitting;CEPS;N/A;Czech Republic;;
;;#REF!;#REF!;308;Vernerov-Vitkov;Vernerov (CZ);Vitkov (CZ);Overhead Line;AC;400;30/ 07/ 2025;In Permitting;CEPS;CEPS;Czech Republic;;
;;#REF!;#REF!;309;Vitkov-Prestice;Vitkov (CZ);Prestice (CZ);Overhead Line;AC;400;30/ 11/ 2022;In Permitting;CEPS;CEPS;Czech Republic;;
;;#REF!;#REF!;312;R Mirovka;Mirovka (CZ);N/A;Substation;AC;400;30/ 09/ 2025;In Permitting;CEPS;N/A;Czech Republic;;
;;#REF!;#REF!;314;Mirkovka-V413;Mirovka (CZ);V413 (CZ);Overhead Line;AC;400;30/ 05/ 2019;In Permitting;CEPS;CEPS;Czech Republic;;
203;REE;Morella-La Plana (previosly Aragón-Castellon);he project consists of a 400kV axis Morella-La Plana. The previous project already considered additional investments that are already in service, that is Mudejar-Morella , Mezquita-Morella and  a new 400kV substation Mudejar with connection to the axis Aragón-Teruel (Spain). This project reinforces the Cantabric-Mediterranean axis solving today and future congestions. ;538;Morella-La Plana;Morella  (ES);La Plana(ES);Overhead Line;AC;400;2020;In Permitting;REE;REE;Spain;;
206;"TENNET-DE;TRANSNET-BW";Reinforcement Southern DE;"AC-busbar"""" in Southern Germany for energy dispatching within Bavaria and Baden-Württemberg and gathering solar energy.";682;Großgartach - Endersbach;Großgartach (DE);Endersbach (DE);Overhead Line;AC;380;2025;Planned But Not Yet Permitting;TransnetBW;TransnetBW;Germany;;
;;#REF!;#REF!;687;Redwitz - Schwandorf;Redwitz (DE);Schwandorf (DE);Overhead Line;AC;380;2023;In Permitting;TenneT-DE;TenneT-DE;Germany;;
;;#REF!;#REF!;688;Raitersaich-Altheim;Raitersaich (DE);Altheim (DE);Overhead Line;AC;380;2026;Planned But Not Yet Permitting;TenneT-DE;TenneT-DE;Germany;;
;;#REF!;#REF!;990;Grafenrheinfeld - Großgartach;Grafenrheinfeld (DE);Großgartach (DE);Overhead Line;AC;380;2022;Planned But Not Yet Permitting;TenneT-DE;TransnetBW;Germany;;
207;TENNET-DE;Reinforcement Northwestern DE;Integration of on- and offshore RES in Lower Saxony;676;Dollern - Elsfleth/West;Dollern (DE);Elsfleht/West (DE);Overhead Line;AC;380;2026;In Permitting;TenneT-DE;TenneT-DE;Germany;;
;;#REF!;#REF!;939;Conneforde - Emden;Conneforde;Emden/Ost;Overhead Line;AC;380;2021;In Permitting;TenneT-DE;TenneT-DE;Germany;;
;;#REF!;#REF!;940;Emden - Halbemond;Emden/Ost;Halbemond;Overhead Line;AC;380;2022;Planned But Not Yet Permitting;TenneT-DE;TenneT-DE;Germany;;
208;"AMPRION;TENNET-DE";N-S Western DE_section North_1;Project 208 consists of new 380 kV overhead line s(partly in existing corridor). The project is needed for integration of on- and offshore wind energy and transport to the load centres in western and southern parts of Germany.;150;Conneforde-Wilhelmshaven;Conneforde (DE);Wilhelmshaven (DE);Overhead Line;AC;380;2020;In Permitting;TenneT-DE;TenneT-DE;Germany;;
;;#REF!;#REF!;151;Ganderkesee - Wehrendorf;Wehrendorf (DE);Ganderkesee (DE);Overhead Line;AC;380;2021;In Permitting;TenneT-DE;Amprion;Germany;;
;;#REF!;#REF!;156;Niederrhein-Dörpen;Niederrhein (DE);Dörpen/West (DE);Overhead Line;AC;380;2021;In Permitting;Amprion;TenneT-DE;Germany;;
209;TENNET-DE;Reinforcement Northeastern DE;New 380-kV-lines in the area of Schleswig-Holstein mainly for integration of Onshore-Wind.;935;Kreis Segeberg - Siems;Kreis Segeberg;Göhl/Siems;Overhead Line;AC;380;2022;Planned But Not Yet Permitting;TenneT-DE;TenneT-DE;Germany;;
210;Alpe Adria Energia Srl;Wurmlach (AT) - Somplago (IT) interconnection;"Somplago - Wurmlach interconnection is a cross-border electrical line promoted by Alpe Adria Energia Srl. The project concerns a 220kV a.c. merchant line, about 300 MW from Somplago substation to new Wurmlach substation, including Phase Shifter Transformer located in Austria"".";1380;Wurmlach (AT) - Somplago (IT) interconnection;SOMPLAGO;WURMLACH;Underground Cable;AC;220;2021;In Permitting;TERNA SPA;Austrian Power Grid AG;Austria;Italy;
214;"LANDSNET;NGIHL";Interco Iceland-UK;Interconnector (Sea cable) between Iceland and Great Britain. The Cable is DC  with 800-1200 MW capacity and over 1.000 km long. 99.98% of the generation in Iceland  is RES. Icelands hydro generation is highly flexible and ideal for complementing intermittency of GB´s growing wind sector.;1082;Interco Iceland-UK;tbd;tbd;Subsea Cable;DC;500;2030;Under Consideration;tbd;tbd;Iceland;Great Britain;
219;EuroAsia Interconnector;EuroAsia Interconnector;"""The Euro Asia Interconnector consists of a 500 kV DC underwater electric cable and any essential equipment and/or installation for interconnecting the Cypriot, Israeli and the Greek transmission networks (offshore). The Interconnector will have a capacity of 2000 MW and a total length of around 820 nautical miles/around 1518 km (approx. 329 km between CY and IL, 879 km between CY and Crete and 310 km between Crete and Athens) and allow for reverse transmission of electricity.""";1407;EuroAsia Interconnector;Hadera Site;Kofinou Site;Subsea Cable;DC;500;2020;In Permitting;IEC;TSO Cyprus;Cyprus;Greece;Isreal
;;#REF!;;1409;EuroAsia Interconnector;Kofinou Site;Korakia (Crete)Site;Subsea Cable;DC;500;2021;In Permitting;TSO Cyprus;ADMHE;Cyprus;Greece;Isreal
;;#REF!;;1410;EuroAsia Interconnector;Korakia (Crete)Site;Athens Site;Subsea Cable;DC;500;2020;In Permitting;ADMHE;ADMHE;Cyprus;Greece;Isreal
225;"AMPRION;ELIA";2nd interconnector Belgium - Germany;"This project considers the possibility of a second ~1GW HVDC interconnection  between Belgium and Germany at the earliest by 2028 (indicative timing).
The timing as well as location, routing, capacity are subject to further studies. In this context, Elia and Amprion are conducting a bilateral feasibility study.";1107;2nd interconnecter between Belgium and Germany;to be defined (BE);to be defined (DE);Underground Cable;DC;0;2028;Under Consideration;ELIA;AMPRION;Belgium;Germany;
227;EMS, CGES, NOSBiH;Transbalkan Corridor;The project aim is to increase transmission capacity within Serbia and facilitate  exchange of energy between north-east part of Europe and south-west of  Europe.;627;400kV interconnection RS-BA;Bajina Basta (RS);Visegrad (BA);Overhead Line;AC;400;2024;In Permitting;EMS;NOSBIH;Serbia;Bosnia & Herzegovina;Montenegro
;;#REF!;#REF!;628;400kV OHL B.Basta-Obrenovac;SS Bajina Basta (RS);SS Obrenovac (RS);Overhead Line;AC;400;2024;In Permitting;EMS;EMS;Serbia;Bosnia & Herzegovina;Montenegro
;;#REF!;#REF!;630;400kV interconnection RS-ME;Bajina Basta (RS);Pljevlja (ME);Overhead Line;AC;400;2024;In Permitting;EMS;CGES;Serbia;Bosnia & Herzegovina;Montenegro
;;#REF!;#REF!;631;400kV SS B.Basta upgrade;Bajina Basta (RS);Bajina Basta (RS);Substation;AC;400;2024;In Permitting;EMS;EMS;Serbia;Bosnia & Herzegovina;Montenegro
;;#REF!;#REF!;1526;400 kV OHL Lastva - Pljevlja;SS Lastva;SS Pljevlja;Overhead Line;AC;400;2019;Under Construction;CGES;CGES;Montenegro;;
;;#REF!;#REF!;1527;400 kV OHL Kragujevac-Kraljevo;SS Kragujevac;SS Kraljevo;Overhead Line;AC;400;2020;Under Construction;EMS;EMS;Serbia;Montenegro;
;;#REF!;#REF!;1528;Upgrade of SS Kraljevo;SS Kraljevo;SS Kraljevo;Substation;AC;400;2020;Under Construction;EMS;EMS;Serbia;;
228;"RTE; TransnetBW; Amprion";Muhlbach - Eichstetten;"Reinforcement of the existing 400kV OHL: 

Deployment of a second 400kV circuit at existing double circuit OHL Muhlbach - Eichstetten, instead of the currently operated circuit Eichstetten - Vogelgruen (currently operated with 225kV). Some topological adjustments of the existing grid  in the area might prove to be necessary.";1231;Muhlbach Eichstetten;Muhlbach;Eichstetten;Overhead Line;AC;400;2025;Planned But Not Yet Permitting;RTE;TransnetBW GmbH;France;Germany;
229;50Hertz Transmission, PSE;GerPol Power Bridge II;Project consist from following investments: indentation to the 2x400 kV line Baczyna-Plewiska (new routes: Baczyna-Zielona Góra, Zielona Góra-Plewiska), 2x400 kV line Zielona Góra - Gubin, crossborder line 2x400 kV line Gubin (PL)-Eisenhuettenstadt (DE);1270;Baczyna-Zielona Góra;Baczyna-Plewiska indentation;Zielona Góra;Overhead Line;AC;400;>2030;Under Consideration;PSE S.A.;PSE S.A.;Poland;Germany;
;;#REF!;#REF!;1271;Zielona Góra - Plewiska;Zielona Góra;Baczyna-Plewiska indentation;Overhead Line;AC;400;>2030;Under Consideration;PSE S.A.;PSE S.A.;Poland;Germany;
;;#REF!;#REF!;1272;Zielona Góra;Zielona Góra;n.a.;Substation;AC;400;>2030;Under Consideration;PSE S.A.;n.a.;Poland;Germany;
;;#REF!;#REF!;1273;Zielona Góra-Gubin;Zielona Góra;Gubin;Overhead Line;AC;400;>2030;Under Consideration;PSE S.A.;PSE S.A.;Poland;Germany;
;;#REF!;#REF!;1274;Gubin;Gubin;n.a.;Substation;AC;400;>2030;Under Consideration;PSE S.A.;n.a.;Poland;Germany;
;;#REF!;#REF!;1275;Eisenhuettenstadt;Gubin (PL);Eisenhuettenstadt (DE);Overhead Line;AC;400;>2030;Under Consideration;PSE S.A.;50Hertz;Poland;Germany;
230;PSE;GerPol Power Bridge I;The reinforcements in the Polish transmission network in western part of the country near Polish/German border. Construction new AC 2x400 kV lines Mikułowa - Świebodzice, Krajnik - Baczyna and Baczyna - Plewiska.;353;Krajnik-Baczyna;Krajnik (PL);Baczyna (PL);Overhead Line;AC;400;2021;In Permitting;PSE S.A.;PSE S.A.;Poland;Poland;
;;#REF!;#REF!;355;Mikułowa - Świebodzice;Mikułowa (PL);Świebodzice (PL);Overhead Line;AC;400;2023;Planned But Not Yet Permitting;PSE S.A.;PSE S.A.;Poland;Poland;
;;#REF!;#REF!;1035;Baczyna;Baczyna;n.a.;Substation;AC;400;2020;In Permitting;PSE S.A.;n.a.;Poland;Poland;
;;#REF!;#REF!;1232;Plewiska;Baczyna;Plewiska;Overhead Line;AC;400;2024;Planned But Not Yet Permitting;PSE S.A.;PSE S.A.;Poland;Poland;
231;"swissgrid; TransnetBW; Amprion";Concept project Germany-Switzerland ;"""This concept project focuses on increasing the transmission capacity between Germany and Switzerland. 

One already identified investment is the upgrade of a 220 kV crossborder line to 380 kV between the substations of Tiengen (DE) and Beznau (CH).""";1282;380 kV Grid Reinforcement Beznau - Tiengen;Beznau (CH);Tiengen (DE);Overhead Line;AC;380;2030;Under Consideration;Swissgrid;Amprion;Switzerland;Germany;
;;#REF!;#REF!;1457;Additional measures;Germany;Switzerland;Overhead Line;DC;380;2035;Under Consideration;TransnetBW;Swissgrid;Germany;Switzerland;
233;REE;Connection of Aragon  Pumping hydro;Potential necessary transmission development for the connection of 3rd party storage project (pumping hydro) that has received a PCI label in the 3rd list 2017. No details about the required network are known yet.;1235;Conceptual project ;-;-;Overhead Line;AC;400;2027;Under Consideration;REE;REE;Spain;;
234;"Energinet; PSE";DKE - PL-1;"HVDC connection DKE-PL;";1236;DKE-PL-1;Avedøre (DKE);Dunowo (PL);Subsea Cable;DC;400;>2030;Under Consideration;Energinet;PSE;Denmark;Poland;
